user_id,discord_user_id,username,display_name,avatar_url,platform_state,connected_at,last_synced_at,last_sync_status
104784071,869708481677119568,daveduke9,Daveduke9,https://cdn.discordapp.com/avatars/869708481677119568/d739de33227552a46442e7d242e0f52b.png,Server_Joined,2026-07-05T12:46:17.019363+00:00,2026-08-09T21:46:32.022347+00:00,success
109387664,938130179115606116,okoruwaobehi111,Okoruwa Obehi Emmanuel,https://cdn.discordapp.com/avatars/938130179115606116/4bf0d15694a58309707c2ddf75edfea6.png,Server_Joined,2026-07-09T04:28:48.708267+00:00,2026-08-09T21:46:33.701422+00:00,role_sync_failed
60932817,886413894564843530,elmaster6954,Natanael Javier,https://cdn.discordapp.com/avatars/886413894564843530/70d3f497a058cec392fd95186f44bdbe.png,Server_Joined,2026-07-28T21:21:21.845835+00:00,2026-08-09T21:46:35.141607+00:00,role_sync_failed
40213661,396000300902776860,olliejandro,Olliejandro,https://cdn.discordapp.com/avatars/396000300902776860/4d7774b8c9b92558e2a2872e367d4d6a.png,Server_Joined,2026-07-19T00:41:02.538828+00:00,2026-08-09T21:46:36.427693+00:00,success
4656074,878025815223328830,thedivine9379,CyberLynx,https://cdn.discordapp.com/avatars/878025815223328830/7e3028d5aaed1cf87b3b2f8636d40bdc.png,Server_Joined,2026-07-17T17:15:16.956354+00:00,2026-08-09T21:46:37.877362+00:00,role_sync_failed
160517063,1278129877114949659,tenzingggg,Tenzing,https://cdn.discordapp.com/avatars/1278129877114949659/1628fc11e7961d85181295493426b775.png,Server_Joined,2026-07-06T03:34:47.348070+00:00,2026-08-09T21:46:39.148770+00:00,success
52612519,1326717831550865524,charityebede,Charity Ebede,https://cdn.discordapp.com/avatars/1326717831550865524/121da446ed0e2db1566e1978b3221d5c.png,Server_Joined,2026-07-09T12:55:27.035781+00:00,2026-08-09T21:46:40.460640+00:00,success
193103814,795337602370109480,_lordbee,lordbee,https://cdn.discordapp.com/avatars/795337602370109480/ef922645ab8fa3b79c4d0cd5382f0553.png,Server_Joined,2026-07-05T20:34:53.819060+00:00,2026-08-09T21:46:41.726203+00:00,success
113107479,753683751544029314,pferggg,whoisbatman1,https://cdn.discordapp.com/avatars/753683751544029314/a2754f40a11609cb48fb286082395359.png,Server_Joined,2026-07-07T04:01:53.007679+00:00,2026-08-09T21:46:43.317263+00:00,success
224305039,1464772219367325919,amahjosh99_23302,Aimar,,Server_Joined,2026-07-11T21:22:07.351294+00:00,2026-08-09T21:46:44.602756+00:00,success
88367072,1210699429015846973,avi__shukla,abhishek,https://cdn.discordapp.com/avatars/1210699429015846973/44c309e35b55e58be2b8016d6aa988c8.png,Server_Joined,2026-07-24T16:52:35.418879+00:00,2026-08-09T21:46:45.849979+00:00,success
44353909,430861595804041216,kingchozen,Chozen,https://cdn.discordapp.com/avatars/430861595804041216/51d5f6bb8b07d90b7b37f38d0c528dae.png,Server_Joined,2026-07-15T03:10:45.815722+00:00,2026-08-09T21:46:47.244197+00:00,role_sync_failed
72815941,650812640943407142,laquion,laquion,https://cdn.discordapp.com/avatars/650812640943407142/6a8aac537ababfbc5a4ef325a98ac279.png,Server_Joined,2026-08-05T05:59:45.551203+00:00,2026-08-09T21:46:48.606003+00:00,role_sync_failed
30873598,686778652628877324,0x1h3r,Abdiwahab,https://cdn.discordapp.com/avatars/686778652628877324/f90bba43283c9b1b50bf09a99f5dcdcc.png,Server_Joined,2026-07-31T10:41:02.759973+00:00,2026-08-09T21:46:50.017223+00:00,role_sync_failed
gitlab_27722188,743025709638746162,beks.ntuli,Beks.01,,Server_Joined,2026-07-10T14:43:43.505949+00:00,2026-08-09T21:46:51.245223+00:00,success
190852390,904989623862845470,macguffin_876,Juss_Tice,https://cdn.discordapp.com/avatars/904989623862845470/6e932835a761cc8449dcbf9d0250ed97.png,Server_Joined,2026-08-04T14:05:53.452802+00:00,2026-08-09T21:46:52.472765+00:00,success
24638594,855251111997210674,carlaltdel,carl+alt+del,,Server_Joined,2026-07-12T18:27:26.574788+00:00,2026-08-09T21:46:53.808109+00:00,success
82541131,708307836773335081,iqtheengineer,IQtheEngineer,https://cdn.discordapp.com/avatars/708307836773335081/738a430764585ecc3d0edede41ce634c.png,Server_Joined,2026-07-07T03:04:05.895841+00:00,2026-08-09T21:46:55.077069+00:00,success
20100558,737076615288324228,damienjburks,Damien,https://cdn.discordapp.com/avatars/737076615288324228/a69e57ca0f17065acd7e133d01f1947f.png,Server_Joined,2026-08-03T16:50:42.486902+00:00,2026-08-09T21:46:56.323812+00:00,success
29310552,911372842451488829,kunle9427,DMIC3-G3:kunle obasoro,,Server_Joined,2026-07-09T05:05:09.087419+00:00,2026-08-09T21:46:57.605720+00:00,success
28814659,178681436470116353,jamaicajones,Phoenix,https://cdn.discordapp.com/avatars/178681436470116353/06b7a93c42bea159eb75e4052f923bc9.png,Server_Joined,2026-07-06T22:04:35.732223+00:00,2026-08-09T21:46:58.880106+00:00,success
1830921,426818533394219008,ercsa7,ercsa7,https://cdn.discordapp.com/avatars/426818533394219008/9e0a34ff74d2f2591712aa50990392fd.png,Server_Joined,2026-07-05T12:25:12.826538+00:00,2026-08-09T21:47:00.205008+00:00,success
